Season,Week,Victim Team,Victim,SR0,SR1,DUR,Type,Offender Team,Offender,BRU,Bounty
4,2,Red Star Pathfinders,Sahil Tasseldance,51,49,48,INJURED,Bulldozer Power,Zesty Lumber,81,
4,2,Red Star Pathfinders,Takemedown Mikey,47,46,29,INJURED,Bulldozer Power,Quebec Spire,63,
4,2,Peninsula Transport,Hank Fungible,72,71,61,INJURED,Grazer Ridge,Jostein Baffled,83,
4,2,Peninsula Transport,Klepp Bossmang,75,73,39,SEASON ENDING INJURY,Grazer Ridge,Karen Woman,59,
4,2,Bongolia Sea Raiders,Bart Conedrop,51,50,30,INJURED,Port Miggins Pirates,Mikey Pwertoolz,70,
4,2,Port Miggins Pirates,Angie Railroad,76,75,60,INJURED,Bongolia Sea Raiders,Big Rod McGurk,72,
4,2,Port Miggins Pirates,Arbogast Flares,67,65,34,INJURED,Bongolia Sea Raiders,Alan Prototype,72,
4,2,Wizard Hole Wizards,Eddie Progribniak,62,60,31,INJURED,Budget Roadies,Capsicum Disco,55,
4,2,Nomads,Ilma Shelfspace,66,65,52,INJURED,Kernal Space Agency,Charlie Choo Choo,70,
4,2,Kernal Space Agency,Jeff Conservative,59,57,33,INJURED,Nomads,Herr Bear,63,
4,2,Bumson Medics,Rosemary Busted,70,69,47,SEASON ENDING INJURY,Urrgmelonflex,Braendig Gladwin,83,
4,2,Bumson Medics,Chaz Contraband,76,75,84,INJURED,Urrgmelonflex,Braendig Gladwin,83,
4,2,Bumson Medics,Flatnose McQuirk,67,70,38,INJURED,Urrgmelonflex,Chicken Druid,38,
4,2,Bumson Medics,Subbuteo Bongos,73,72,55,INJURED,Urrgmelonflex,Amanda Pickle,63,
4,2,Sportsball Union,Marcel LeJams,80,78,59,INJURED,Shady Palms,Bork Tesla,81,
4,2,Sportsball Union,Flirty Gumchew,49,48,36,INJURED,Shady Palms,Polly Babylon,65,
4,2,Cheerio Inc,Troy Oktoberfest,75,74,73,INJURED,Ov City Axemen,Wanda Bluepill,68,
4,2,LingoBlend Allstars,Jenny J Sonar,48,46,54,INJURED,Grunt Auto Gruppe,Georgie Cones,88,
4,2,LingoBlend Allstars,Stegg Steggerson,64,62,40,INJURED,Grunt Auto Gruppe,Barry Turnips,63,
4,2,Vuvu Boys,Gonzalo Lorry,63,62,51,INJURED,Toymasters,Claw Scratchboard,45,
4,2,Sunshine Funbus,Cynthia Wrestling-Mask,66,65,46,INJURED,Eduslum Marching Band,Linn Mephisto,50,
4,2,Sunshine Funbus,Shamrock Bubblejet,68,68,62,INJURED,Eduslum Marching Band,Gus Hitman Resume,105,
4,2,Picks Creek Miners,Crank Virtue,72,71,61,INJURED,Stardozer HR,David Onions,70,
4,2,Failurewood Hills,Desmond Eyeliner,69,67,33,INJURED,Wretched Minstrels,Fingers Vektrix,52,
4,2,Failurewood Hills,Irish Joe Shokk,65,63,65,INJURED,Wretched Minstrels,Pitbull Jones,64,
4,2,Failurewood Hills,Daisy Mango,62,60,48,INJURED,Wretched Minstrels,Ryan McNiece,62,
4,2,Wretched Minstrels,Pitbull Jones,76,74,39,INJURED,Failurewood Hills,Vanessa Hammock,81,
4,3,Cheerio Inc,Alundra Blud,76,74,54,INJURED,Sweaty Marsupials,Coughs Zerma,70,
4,3,Sportsball Union,Bird Dogg,85,84,60,INJURED,Wizard Hole Wizards,Carl Detonator,77,
4,3,Beekeepers,Tools Aghast,53,51,39,INJURED,Sunshine Funbus,Antonio Rojas,61,
4,3,Grazer Ridge,Ominous Bob,67,66,77,INJURED,Eduslum Marching Band,Gus Hitman Resume,90,
4,3,Failurewood Hills,Vanessa Hammock,74,74,36,INJURED,Volcamoose Saints,Zerwin Trumpet,62,
4,3,Failurewood Hills,Emanuel Weather-Cone,73,71,63,INJURED,Volcamoose Saints,Erlan Dickburg,75,
4,3,Volcamoose Saints,Cremp Inquisitor,71,70,68,INJURED,Failurewood Hills,Johan Tremendous,71,
4,3,Budget Roadies,Drew Actionclump,87,,30,KILLED,Fire Chefs,Percy Riots,78,
4,3,Budget Roadies,Nominus Sin,68,67,57,INJURED,Fire Chefs,Percy Riots,78,
4,3,Red Star Pathfinders,Dirk Shafter,75,73,43,INJURED,Steggonauts,Larry Splendid,56,
4,3,Steggonauts,Mark Disneyland,69,67,34,INJURED,Red Star Pathfinders,Mateo Falcone,80,
4,3,LingoBlend Allstars,Todd Baubles,67,66,56,INJURED,Toymasters,Claw Scratchboard,56,
4,3,Bumson Medics,Martin Jackhammer,68,66,42,INJURED,Kernal Space Agency,Olga Delerium,63,
4,3,Kernal Space Agency,Jeff Conservative,54,52,29,INJURED,Bumson Medics,Bandit Joe,83,
4,3,Kernal Space Agency,Olga Delerium,67,65,54,INJURED,Bumson Medics,Bandit Joe,83,
4,3,Nomads,Kim Selecta,80,78,38,INJURED,Vuvu Boys,Evan Doublehair,92,
4,3,Peninsula Transport,Cordelia Benzedrine,72,,40,KILLED,Grunt Auto Gruppe,Georgie Cones,88,
4,3,Grunt Auto Gruppe,Harriet Reflux,66,64,60,INJURED,Peninsula Transport,Len Styrofoam,71,
4,3,Grunt Auto Gruppe,President Skroob,64,63,67,INJURED,Peninsula Transport,Len Styrofoam,71,
4,3,Wretched Minstrels,Percival Hatred,81,80,22,INJURED,Urrgmelonflex,Ed Varnish,71,
4,3,Wretched Minstrels,Greta Truncheon,60,57,1,INJURED,Urrgmelonflex,Wilf Jerk,53,
4,4,Sunshine Funbus,Antonio Rojas,58,56,39,INJURED,Bongolia Sea Raiders,Bernard Dunk,52,
4,4,Grazer Ridge,Earl Blackfinger,65,62,83,INJURED,Vuvu Boys,Evan Doublehair,92,
4,4,Vuvu Boys,Bernie Mistakes,65,64,53,INJURED,Grazer Ridge,Santino Bananas,80,
4,4,Port Miggins Pirates,Ford Sporks,61,60,67,INJURED,Eduslum Marching Band,Anna Linguistic,89,
4,4,Eduslum Marching Band,Job Scott Dunne,70,67,48,INJURED,Port Miggins Pirates,Pat Duplicitous,72,
4,4,Port Miggins Pirates,Kiki Tyrant,77,75,27,INJURED,Eduslum Marching Band,Ron Bongos,96,
4,4,Wizard Hole Wizards,Eddie Progribniak,71,69,34,INJURED,Stardozer HR,John Baritone,73,
4,4,Wizard Hole Wizards,Jetson Flange,71,70,43,INJURED,Stardozer HR,John Baritone,73,
4,4,Bumson Medics,Baron Torquemada,65,64,22,INJURED,Volcamoose Saints,Xavier Sensation,77,
4,4,Kernal Space Agency,Olga Delerium,63,62,53,INJURED,Failurewood Hills,Vicky Flamboyant,79,
4,4,Kernal Space Agency,Ben Turncoat,68,66,70,INJURED,Failurewood Hills,Vicky Flamboyant,79,
4,4,Failurewood Hills,Kirk McTwist,55,54,63,INJURED,Kernal Space Agency,Buck Dungeons,61,
4,4,Failurewood Hills,Julio a la Carte,81,81,53,INJURED,Kernal Space Agency,Bugeye Seizure,77,
4,4,Beekeepers,Celia Parole,65,64,55,INJURED,Ov City Axemen,Chunk Flunkerson,53,
4,4,Beekeepers,David Concentrate,60,60,19,INJURED,Ov City Axemen,Cliff Goat-Scream,64,
4,4,Fire Chefs,Gregg Double-G,69,68,46,INJURED,Shady Palms,Polly Babylon,77,
4,4,Fire Chefs,Vivienne Crumble,72,71,43,INJURED,Shady Palms,Bork Tesla,81,
4,4,Shady Palms,Jovial Impairment,64,63,48,INJURED,Fire Chefs,Percy Riots,78,
4,4,Fire Chefs,Mindy Bleach,63,61,56,INJURED,Shady Palms,Polly Babylon,77,
4,4,Budget Roadies,Holmes Brokentime,69,,32,KILLED,Picks Creek Miners,Whiskers Camembert,64,
4,4,Cheerio Inc,Alundra Blud,74,73,54,INJURED,Steggonauts,Furious Spongbath,89,
4,4,Toymasters,Justin Underworld,85,83,38,INJURED,Peninsula Transport,Len Styrofoam,71,
4,4,Toymasters,Tandy Appleseed,71,69,62,SEASON ENDING INJURY,Peninsula Transport,Len Styrofoam,71,
4,4,Toymasters,Pip Strobelight,69,67,46,INJURED,Peninsula Transport,Trayce Attitude,63,
4,4,Toymasters,Dave Caustic,79,78,67,INJURED,Peninsula Transport,Gabe Transistor,73,
4,4,Wretched Minstrels,Percival Hatred,78,76,24,INJURED,Nomads,Miss Florida 1997,51,
4,4,Urrgmelonflex,Charles Monkeycage,76,77,60,INJURED,Blood Pit Bouncers,Veronica Hammock,62,
4,4,Urrgmelonflex,Kitty Escargo,40,44,51,INJURED,Blood Pit Bouncers,Veronica Hammock,62,
4,4,Bulldozer Power,Quebec Spire,69,69,74,INJURED,Grunt Auto Gruppe,Barry Turnips,75,
4,4,Grunt Auto Gruppe,Karoline Warfare,55,57,63,INJURED,Bulldozer Power,Steve Morrey,75,
4,4,Sportsball Union,Mervyn Pinerider,65,63,59,SEASON ENDING INJURY,Sweaty Marsupials,Jack Flipacoin,84,
4,4,Sportsball Union,Marcel LeJams,79,76,71,INJURED,Sweaty Marsupials,Coughs Zerma,70,
4,4,Sportsball Union,Bite Strongarm,46,45,77,INJURED,Sweaty Marsupials,Ruthie Spasms,67,
4,5,Bumson Medics,Dante Intestines,49,47,55,INJURED,Red Star Pathfinders,Pope Lorenz,59,
4,5,Beekeepers,Celia Parole,58,57,55,INJURED,Sweaty Marsupials,Ruthie Spasms,82,
4,5,Beekeepers,Dirty Woods,71,71,54,INJURED,Sweaty Marsupials,Jack Mercury,63,
4,5,Beekeepers,Mister CAG,56,55,48,INJURED,Sweaty Marsupials,Coughs Zerma,70,
4,5,Beekeepers,Tools Aghast,51,49,38,INJURED,Sweaty Marsupials,Krag Franklin,87,
4,5,Sweaty Marsupials,Tequilla Pamplemousse,68,66,56,INJURED,Beekeepers,Rooster Views,57,
4,5,Sweaty Marsupials,Helga Jumpjet,56,,65,KILLED,Beekeepers,Hippy Impact,67,
4,5,Steggonauts,Furious Spongbath,58,57,68,SEASON ENDING INJURY,Failurewood Hills,Vanessa Hammock,81,
4,5,Sunshine Funbus,Ivor Horn,72,71,50,INJURED,Stardozer HR,John Baritone,73,
4,5,Stardozer HR,Jerome Disquiet,61,60,34,INJURED,Sunshine Funbus,Cynthia Wrestling-Mask,74,
4,5,Budget Roadies,Henk Vengeance,64,62,60,INJURED,Eduslum Marching Band,Gus Hitman Resume,90,
4,5,Budget Roadies,Travis Doomgiver,74,73,86,INJURED,Eduslum Marching Band,Gus Hitman Resume,90,
4,5,Budget Roadies,Spiney Turtlewax,54,52,41,INJURED,Eduslum Marching Band,Linn Mephisto,50,
4,5,Eduslum Marching Band,Muluab Verbose,72,70,60,SEASON ENDING INJURY,Budget Roadies,Viscount Heat,69,
4,5,Bongolia Sea Raiders,Bart Conedrop,49,49,14,INJURED,Ov City Axemen,Wanda Bluepill,68,
4,5,Bongolia Sea Raiders,Ziggy Whippet,71,68,35,INJURED,Ov City Axemen,Shandy Worthless,63,
4,5,Port Miggins Pirates,Anthony Go,82,81,26,INJURED,Volcamoose Saints,Xavier Sensation,77,
4,5,Port Miggins Pirates,Kim Freightmaster,67,65,37,INJURED,Volcamoose Saints,Felipe Flexin,42,
4,5,Bulldozer Power,Judy Conspiracy,55,53,29,INJURED,Wizard Hole Wizards,Tommy Keys,81,
4,5,Bulldozer Power,Stuntworth Friendly,66,64,72,INJURED,Wizard Hole Wizards,Tonya Spangle,77,
4,5,Bulldozer Power,Quebec Spire,67,66,74,INJURED,Wizard Hole Wizards,Carl Detonator,77,
4,5,Nomads,Egon Sanction,68,67,59,INJURED,Urrgmelonflex,Braendig Gladwin,83,
4,5,Nomads,Boris Wetpaperbag,66,64,48,INJURED,Urrgmelonflex,Braendig Gladwin,83,
4,5,Shady Palms,Spack Freely,72,70,58,INJURED,Grazer Ridge,Karen Woman,59,
4,5,Shady Palms,Polly Babylon,65,63,34,INJURED,Grazer Ridge,Jostein Baffled,83,
4,5,Grunt Auto Gruppe,Bikebreaker Billy,73,70,66,INJURED,Blood Pit Bouncers,Fred Singularity,91,
4,6,LingoBlend Allstars,Todd Baubles,66,64,56,INJURED,Bumson Medics,Ethel Tread-Banjo,75,
4,6,Bumson Medics,Bingo Hazmat,83,82,60,INJURED,LingoBlend Allstars,Ulysses Failure,93,
4,6,Toymasters,Scrag Vitamins,56,54,64,INJURED,Red Star Pathfinders,Mateo Falcone,80,
4,6,Toymasters,Marcel Purpose,70,69,24,INJURED,Red Star Pathfinders,Mateo Falcone,80,
4,6,Fire Chefs,Eva Composite,72,70,55,INJURED,Steggonauts,Larry Splendid,56,
4,6,Fire Chefs,Vivienne Crumble,71,69,42,INJURED,Steggonauts,Benny Cheese,67,
4,6,Fire Chefs,Percy Riots,71,,65,KILLED,Steggonauts,Painful Grinding,70,
4,6,Budget Roadies,Nucky Mudwhistle,67,66,47,INJURED,Failurewood Hills,Emanuel Weather-Cone,83,
4,6,Failurewood Hills,Justice Lemon,54,53,36,INJURED,Budget Roadies,Capsicum Disco,55,
4,6,Budget Roadies,Coral Success,59,58,60,INJURED,Failurewood Hills,Vicky Flamboyant,79,
4,6,Failurewood Hills,Amanda Pickle,56,54,38,INJURED,Budget Roadies,Henk Vengeance,58,
4,6,Failurewood Hills,Desmond Eyeliner,71,68,32,INJURED,Budget Roadies,Capsicum Disco,55,
4,6,Failurewood Hills,Irish Joe Shokk,59,64,33,INJURED,Budget Roadies,Capsicum Disco,55,
4,6,Shady Palms,Tintin Hollywood,86,84,45,INJURED,Ov City Axemen,Wanda Bluepill,68,
4,6,Ov City Axemen,Shandy Worthless,79,79,56,INJURED,Shady Palms,Polly Babylon,77,
4,6,Stardozer HR,Kick Jess,64,63,29,INJURED,Bongolia Sea Raiders,Paul Dagger,44,
4,6,Bongolia Sea Raiders,Alan Prototype,58,58,73,INJURED,Stardozer HR,Drip Fizzlebrew,77,
4,6,Stardozer HR,Dubious Wombert,63,61,48,INJURED,Bongolia Sea Raiders,Zoltan Zoltan,65,
4,6,Stardozer HR,John Baritone,79,78,55,INJURED,Bongolia Sea Raiders,Big Rod McGurk,88,
4,6,Grazer Ridge,Dick Minor,67,65,48,INJURED,Port Miggins Pirates,Pat Duplicitous,72,
4,6,Port Miggins Pirates,Mikey Pwertoolz,78,76,70,INJURED,Grazer Ridge,Santino Bananas,80,
4,6,Eduslum Marching Band,Ron Bongos,74,73,43,INJURED,Volcamoose Saints,Erlan Dickburg,87,
4,6,Wizard Hole Wizards,Carl Detonator,75,73,48,INJURED,Sweaty Marsupials,Coughs Zerma,70,
4,6,Wizard Hole Wizards,Bautista Cranium,75,74,51,INJURED,Sweaty Marsupials,Ruthie Spasms,82,
4,6,Kernal Space Agency,Rock Hanz,89,88,57,INJURED,Vuvu Boys,Brandon Peril,72,
4,6,Kernal Space Agency,Karl Tsvasdan,70,68,40,INJURED,Vuvu Boys,Evan Doublehair,92,
4,6,Kernal Space Agency,Jeff Conservative,51,50,28,INJURED,Vuvu Boys,Chaz Crank-Fonz,51,
4,6,Kernal Space Agency,Ethan Hogwash,83,81,75,INJURED,Vuvu Boys,Evan Doublehair,92,
4,6,Nomads,Ilma Shelfspace,68,67,52,INJURED,Peninsula Transport,Gabe Transistor,73,
4,6,Grunt Auto Gruppe,Tiffany Hooverbag,80,79,70,INJURED,Urrgmelonflex,Ed Varnish,71,
4,6,Urrgmelonflex,Chicken Druid,63,62,60,INJURED,Grunt Auto Gruppe,President Skroob,73,
4,7,Beekeepers,Celia Parole,57,56,54,INJURED,Blood Pit Bouncers,Veronica Hammock,62,
4,7,Blood Pit Bouncers,Mark Disneyland,68,66,34,INJURED,Beekeepers,Cooper Right?,65,
4,7,Fire Chefs,Sticky Pierre,63,61,53,INJURED,Failurewood Hills,Emanuel Weather-Cone,83,
4,7,Grazer Ridge,Martin Jackhammer,66,65,42,SEASON ENDING INJURY,Steggonauts,Benny Cheese,67,
4,7,Grazer Ridge,Nigel Prison,79,78,45,INJURED,Steggonauts,Helmut Cenobite,84,
4,7,Bongolia Sea Raiders,Ziggy Whippet,65,63,34,INJURED,Red Star Pathfinders,Dirk Shafter,67,
4,7,Wizard Hole Wizards,Nat SpaceHopper,75,74,50,INJURED,Peninsula Transport,Trayce Attitude,52,
4,7,Wizard Hole Wizards,Apex Manticore,68,66,78,INJURED,Peninsula Transport,Diego ASMR,80,
4,7,Wizard Hole Wizards,Carl Detonator,70,68,48,INJURED,Peninsula Transport,Diego ASMR,80,
4,7,Wizard Hole Wizards,Whomping Willow,64,63,84,INJURED,Peninsula Transport,Randall Maroon,78,
4,7,Kernal Space Agency,Toothless Wonder,82,,50,KILLED,Port Miggins Pirates,Pat Duplicitous,72,
4,7,Budget Roadies,Nucky Mudwhistle,66,,47,KILLED,Urrgmelonflex,Ed Varnish,71,
4,7,LingoBlend Allstars,Jenny J Sonar,45,44,54,INJURED,Shady Palms,Margaret-Ann Sprinkles,103,
4,7,Cheerio Inc,Paddy Finucane,74,73,74,INJURED,Bumson Medics,El Smiters,68,
4,7,Grunt Auto Gruppe,Karin Hair,75,74,55,INJURED,Eduslum Marching Band,Ron Bongos,96,
4,7,Eduslum Marching Band,Mokka Badsun,77,75,70,INJURED,Grunt Auto Gruppe,Barry Turnips,75,
4,7,Grunt Auto Gruppe,Tyger Styles,91,90,45,INJURED,Eduslum Marching Band,Georgie Cones,88,
4,7,Grunt Auto Gruppe,Luther Pendragon,71,70,54,INJURED,Eduslum Marching Band,Ron Bongos,96,
4,7,Toymasters,Johanna U-Turn,65,63,19,INJURED,Ov City Axemen,Shandy Worthless,63,
4,7,Toymasters,Dr Goodsurgery,59,57,40,SEASON ENDING INJURY,Ov City Axemen,Wanda Bluepill,68,
4,7,Sunshine Funbus,Antonio Rojas,64,62,39,INJURED,Wretched Minstrels,Pitbull Jones,64,
4,7,Wretched Minstrels,Professor Fetom,61,60,54,INJURED,Sunshine Funbus,Colt Rhombus,47,
4,7,Volcamoose Saints,Cogent Wang,66,64,64,INJURED,Stardozer HR,John Baritone,73,
4,7,Stardozer HR,Danny Diet,71,70,48,SEASON ENDING INJURY,Volcamoose Saints,Zerwin Trumpet,62,
4,7,Volcamoose Saints,Chris Biscuit,101,100,80,INJURED,Stardozer HR,Kick Jess,78,
4,7,Picks Creek Miners,Crank Virtue,69,70,44,INJURED,Vuvu Boys,Horsten Saltblock,68,
4,7,Bulldozer Power,Stuntworth Friendly,63,62,72,INJURED,Sweaty Marsupials,Jack Flipacoin,84,
4,7,Bulldozer Power,Ed Big-Mother,63,68,49,INJURED,Sweaty Marsupials,Ruthie Spasms,67,
4,7,Bulldozer Power,Emmental Helmet,64,63,28,INJURED,Sweaty Marsupials,Coughs Zerma,70,
4,7,Sweaty Marsupials,Jack Flipacoin,67,65,36,INJURED,Bulldozer Power,Steve Morrey,61,
